age,educationyears,sex,hoursperweek,incomeUSD
48,16,1,60,107751
37,10,1,48,125018
48,12,0,40,42836
32,9,1,40,48865
76,14,1,40,153930
44,13,1,60,87135
47,14,0,50,32143
20,10,0,40,33250
29,9,1,40,42346
32,9,1,40,194491
17,6,0,32,47415
30,7,1,40,21506
31,9,0,40,43951
42,9,1,40,36279
24,13,1,40,43800
38,15,1,40,162768
56,9,1,50,99964
28,10,0,25,23604
36,9,0,40,35849
53,5,1,50,35679
56,10,1,50,48692
49,11,1,40,126581
55,10,1,56,45126
22,9,1,41,49389
21,10,0,40,48886
40,13,1,60,45867
30,13,1,40,37137
29,13,1,50,85850
19,10,1,35,44278
47,13,0,40,84898
20,10,0,28,33721
31,12,1,40,148959
35,9,1,40,36062
39,10,1,40,24146
28,12,0,60,27642
24,9,0,40,33784
38,9,1,35,33264
37,13,1,50,29738
46,12,0,36,31166
38,14,1,40,154207
43,9,1,60,23228
27,11,0,35,31580
20,10,1,20,29232
49,10,1,40,196889
61,9,1,40,46378
27,10,0,40,28701
19,10,1,30,21684
45,11,0,40,116475
70,10,1,40,38263
31,9,0,30,32750
22,10,1,24,49910
36,9,0,24,47723
64,7,1,40,45801
43,10,0,40,26514
47,10,0,38,39662
34,9,0,40,41549
33,13,0,40,42226
21,9,1,35,32763
52,9,1,45,84775
48,9,1,46,33364
23,13,1,40,32933
71,10,1,2,44934
29,9,1,60,23755
42,13,1,50,43799
68,2,0,20,36395
25,9,0,40,22654
44,14,0,40,23688
28,9,0,40,31833
45,14,1,40,90847
36,10,0,40,43637
39,12,1,42,28168
46,14,1,40,34488
18,7,1,16,49562
66,11,0,20,33740
27,9,1,40,30738
28,9,1,40,41680
51,10,1,40,62418
27,13,1,50,20076
28,13,1,40,87226
27,9,0,25,22868
21,9,1,40,36096
34,9,1,40,23734
18,9,1,12,30206
33,13,1,65,39286
44,10,1,38,122863
43,10,0,40,27771
30,10,1,45,35827
40,4,1,40,123522
37,10,1,42,108141
34,9,1,40,31017
41,13,0,40,20323
53,13,0,50,34092
31,14,0,50,21224
58,16,1,1,82421
38,10,0,28,43071
24,10,1,40,25268
41,13,1,40,31937
47,10,1,45,31516
41,13,1,24,21264
23,3,1,40,48433
36,10,1,40,21415
40,14,0,55,127944
35,14,1,40,112667
24,9,1,40,35224
26,14,0,40,26561
19,9,1,40,23386
51,13,1,50,183691
42,10,0,40,44292
37,9,0,35,49834
18,7,0,40,43073
36,13,1,36,95073
35,9,1,60,38220
58,9,0,35,52771
17,7,0,12,43364
44,9,1,40,20310
37,9,1,40,114304
35,10,0,40,38314
60,9,1,40,29159
54,4,1,40,110794
37,13,1,60,134809
50,12,0,40,44098
38,13,1,50,45432
45,13,1,55,22712
25,6,1,40,44397
31,10,1,40,38814
64,2,1,40,35099
90,9,1,40,36040
54,9,1,20,21508
53,1,0,35,45346
18,9,0,40,31226
60,6,0,10,45676
66,9,1,50,43798
75,11,0,20,47507
65,9,0,40,38622
35,7,1,40,48607
41,9,0,38,36081
25,10,1,42,35843
33,10,0,40,25168
28,15,1,55,121332
59,9,1,40,40482
40,10,0,38,21192
41,13,1,50,54028
38,14,1,70,80034
23,9,1,40,42661
40,13,1,40,74382
41,9,0,20,26824
24,12,1,50,35802
20,10,1,20,37199
38,10,1,40,31777
56,9,1,35,26827
58,9,1,45,97244
32,9,0,34,37031
40,12,1,60,76413
45,9,1,40,33671
41,15,0,40,113257
42,13,0,40,21888
59,6,0,30,23771
19,10,1,40,45294
58,10,1,20,31315
42,9,1,40,86214
20,9,0,40,47623
32,9,0,30,31807
45,11,0,45,37760
50,4,1,40,41406
36,13,0,40,40230
45,9,1,60,36729
17,7,1,12,21573
59,10,1,40,31064
26,7,1,40,30500
37,10,1,75,67284
19,10,1,24,44458
64,9,1,40,112600
33,13,0,45,30819
33,9,0,40,139359
61,9,1,40,67670
17,5,1,24,26208
50,14,1,98,29703
27,14,1,35,49236
30,9,0,40,28953
43,9,1,40,25483
44,10,1,40,153363
35,10,0,40,28261
25,10,0,40,40370
24,10,0,48,164302
22,13,0,15,48717
42,10,1,40,131213
34,12,0,45,41688
60,13,0,42,46440
21,9,1,40,36194
57,14,1,40,103645
41,15,1,60,86242
50,10,1,45,42742
25,13,0,40,41189
50,4,1,40,46147
36,13,1,45,48253
31,9,0,40,49402
29,13,1,56,25600
21,10,1,45,27815
27,13,0,40,34117
65,9,1,16,25055
37,13,0,60,33875
39,14,0,40,26319
24,9,1,40,26913
38,9,1,80,31391
48,13,1,40,148855
21,10,0,25,32565
31,9,1,45,142550
55,9,1,40,168472
24,10,0,40,45614
43,9,0,40,33146
26,12,1,45,35357
46,12,0,33,35322
35,12,1,40,76517
41,10,1,54,79054
26,13,1,40,22624
34,14,1,35,180647
19,10,0,25,38706
36,13,0,40,154840
22,10,1,15,27043
24,10,1,40,23301
77,10,1,40,41079
22,3,0,40,35135
29,10,0,40,22486
62,9,0,24,22068
39,9,1,40,49163
43,10,1,50,38517
35,9,1,45,26494
29,7,0,40,33132
76,14,1,10,22533
63,9,1,45,32990
23,11,0,15,37827
43,10,0,50,143733
58,9,1,40,44290
66,9,1,55,22053
41,10,1,45,35155
26,13,1,40,39197
47,11,1,40,39338
55,6,1,40,27601
53,9,1,40,46323
17,3,1,48,25661
30,9,1,40,31424
49,14,1,60,23137
19,9,1,30,45796
45,9,1,40,46310
26,12,1,40,22340
38,11,1,40,69514
36,9,1,40,107014
33,9,1,20,44458
22,10,0,40,45748
43,13,1,42,34679
67,7,1,8,30333
30,11,0,40,37758
56,12,1,25,23624
31,13,1,25,38344
33,13,1,40,158000
26,9,1,40,21785
33,13,1,40,167551
46,7,1,30,28130
59,13,1,40,181063
38,9,1,40,156095
65,7,1,40,21817
40,11,1,40,185607
42,9,0,35,28057
26,5,1,40,41190
36,6,0,24,29351
62,14,1,40,162379
43,13,1,45,44986
43,13,1,45,161917
22,9,1,55,42937
28,9,1,40,39805
56,10,1,45,23040
22,12,0,15,35322
57,13,0,45,95985
39,9,0,40,30111
26,10,0,15,47721
17,7,1,10,28861
40,11,1,38,111324
45,9,1,40,24116
44,9,1,40,42465
20,10,0,10,45238
33,9,0,40,20980
23,10,1,40,34788
46,14,1,30,27387
38,9,1,50,48239
54,9,1,40,25211
46,3,0,45,44865
25,10,1,40,22006
46,10,0,40,30657
36,10,0,40,20069
23,9,0,25,32750
29,9,1,40,39035
44,10,0,6,197380
19,10,0,16,21874
19,9,0,40,27014
35,9,0,40,68539
27,13,1,50,38254
46,12,1,40,42823
34,13,1,45,121828
34,9,0,35,37640
44,10,1,40,21556
45,10,0,40,46809
20,9,0,35,37835
25,13,1,55,145820
52,13,1,50,67926
20,10,1,40,37649
28,10,0,40,34053
50,13,1,40,135962
34,11,0,64,31484
28,4,1,40,32273
41,14,1,65,63084
28,9,1,40,21958
46,9,1,25,23977
28,10,0,40,169796
32,10,1,50,46890
41,10,0,24,38182
24,9,0,40,43552
33,10,0,40,27915
46,16,1,60,95465
31,10,1,40,46880
35,8,1,50,59238
52,2,1,40,31365
30,7,0,19,32538
34,7,1,40,48702
34,9,0,40,25848
20,10,1,30,33109
17,7,1,18,41300
32,13,0,40,158616
29,9,1,40,31540
33,6,0,35,43438
25,9,1,60,22623
36,14,1,40,20714
23,9,1,72,48017
63,9,1,40,146285
47,14,1,40,49220
80,9,1,24,28736
17,7,1,40,38513
40,13,0,40,28328
30,12,0,25,117993
27,10,1,40,40160
33,14,1,50,140821
34,9,1,60,26762
34,10,0,40,39805
23,10,1,40,32285
42,10,0,40,28902
29,13,1,40,41970
45,9,0,28,22095
24,9,1,40,40622
44,10,1,40,140898
27,5,1,40,46636
20,10,1,35,48575
44,9,0,40,40879
51,9,1,40,37576
20,9,1,40,25899
17,7,0,5,45631
19,9,0,40,42481
45,10,1,55,189616
60,9,1,40,175180
42,12,1,40,186051
44,9,0,40,112339
40,11,1,40,151664
30,9,0,40,43198
38,10,1,50,31167
23,9,1,60,44734
32,10,1,40,42091
44,12,1,40,44938
54,9,1,40,49588
32,13,1,50,22791
50,2,1,40,33624
24,13,0,20,38787
37,9,0,60,48866
52,9,1,40,36042
38,10,1,40,32722
49,14,1,45,70980
30,13,0,16,71873
60,10,1,40,112904
22,10,1,40,32159
35,9,1,40,33612
30,9,1,60,28304
67,11,0,24,27994
46,13,0,40,40824
17,5,1,6,25872
22,10,1,30,47557
27,6,1,40,34967
23,9,0,35,44495
33,12,1,45,27614
43,10,1,20,20365
28,13,1,20,21517
41,9,0,40,48106
52,8,1,40,27455
25,10,0,20,35428
63,2,1,35,48867
59,9,1,45,44014
45,13,0,40,21781
38,13,1,60,98220
40,9,0,35,32323
46,9,1,40,46246
35,12,0,60,45494
34,9,0,25,37792
33,13,1,20,41052
41,9,0,36,26293
20,10,1,40,48108
23,3,1,40,36949
26,10,0,35,37041
72,9,1,20,41157
23,9,1,40,45480
62,9,1,40,39997
52,10,1,40,24606
58,10,0,42,41230
25,13,0,40,27625
24,13,1,40,25005
19,10,1,8,35587
43,10,1,40,44935
47,9,0,40,33863
39,9,0,40,21835
49,11,1,42,22945
53,3,0,30,39043
32,11,1,45,46157
34,10,1,50,111270
28,9,1,45,34343
57,11,0,38,43958
25,10,0,20,37264
20,10,1,24,28910
21,10,0,35,35229
34,13,1,50,78666
38,13,1,80,87355
50,9,1,50,100874
24,10,1,50,43249
37,10,1,45,121266
44,10,1,58,187138
28,10,0,40,40001
42,13,1,40,75102
74,10,0,9,27297
38,9,1,50,28053
44,14,1,40,32207
44,7,0,46,24755
26,9,1,40,35493
36,9,1,40,32623
41,12,0,50,195333
67,15,1,48,145392
39,8,1,50,49321
57,2,0,30,31601
29,11,1,40,47459
31,13,0,45,31546
34,9,0,40,29005
44,10,1,40,46962
29,16,1,40,20148
30,10,0,40,22873
27,9,1,40,22369
27,10,1,50,41536
32,9,0,45,44709
58,6,0,8,37052
35,10,1,40,25358
21,9,1,36,38807
28,10,1,40,20724
46,10,1,50,41135
36,9,0,40,48735
72,7,0,40,32672
35,9,0,40,37443
33,11,0,40,85273
69,7,0,40,30432
35,9,1,40,38841
31,9,0,20,45941
34,9,0,32,43209
30,7,1,40,25490
28,13,1,55,43525
54,13,1,35,193435
47,10,1,50,158318
24,9,0,40,31125
52,13,1,60,108265
20,9,1,48,39088
43,14,1,45,45777
45,4,0,40,35084
29,9,1,35,41521
47,14,1,42,49185
24,9,1,40,33265
51,9,1,40,30108
17,7,1,12,36666
37,11,1,40,54690
27,16,0,70,32421
29,13,1,40,174423
18,8,1,25,48222
36,12,0,35,27940
58,13,0,40,45690
26,10,1,45,47076
65,10,1,30,180402
57,9,1,40,124862
59,9,1,40,44323
27,9,1,40,40284
31,13,1,40,35980
21,10,0,24,30280
29,10,1,60,46780
18,7,1,40,39917
52,6,1,47,131743
57,13,1,80,38519
42,9,1,40,22436
55,9,0,40,47918
60,4,1,48,67581
31,13,1,40,137706
23,13,0,40,20731
27,9,1,40,30775
23,10,0,25,24838
42,15,1,50,106724
25,10,1,40,37137
49,13,0,45,47533
32,13,1,40,35344
19,10,1,28,30892
60,4,0,40,40429
42,5,1,40,30346
35,12,1,40,27303
48,9,0,37,43064
51,14,1,40,52909
29,9,1,40,35158
36,9,1,40,21210
17,6,0,21,40979
52,14,0,60,35982
24,9,1,40,40954
24,9,1,50,42173
26,13,1,40,36867
27,13,0,20,34679
39,9,1,60,27478
30,9,1,45,36237
50,9,1,32,31840
52,13,1,55,43184
46,15,1,45,100923
23,13,0,20,33453
45,7,0,20,47189
65,5,0,24,43550
29,11,1,55,37716
47,5,1,40,29718
30,9,1,60,40722
34,9,1,45,140984
38,9,1,64,32644
33,10,1,40,77427
49,13,1,26,130640
47,10,0,40,30977
49,6,0,40,29196
43,10,1,60,147855
30,13,0,40,66883
58,9,1,60,44055
19,9,0,14,37636
21,13,1,40,20988
33,13,1,60,163564
47,3,1,50,38773
52,16,1,60,138017
26,9,1,55,44702
60,9,1,40,49808
21,10,1,40,22706
36,10,1,50,143551
31,10,1,45,30372
50,16,1,40,158209
31,9,0,40,40218
71,9,1,15,41192
58,9,1,50,37255
30,13,1,40,161103
20,10,1,20,46186
24,9,1,50,43833
35,16,1,40,113575
38,10,0,45,24726
27,9,0,32,25798
29,10,0,40,37986
70,5,0,15,32467
34,9,1,45,27628
44,4,1,35,42637
43,9,1,40,186336
44,8,1,40,189057
35,14,1,60,24077
27,10,1,40,24230
43,14,1,38,34179
20,10,0,25,38982
42,12,0,40,103919
27,10,1,40,34678
42,9,1,40,129319
20,7,0,40,45962
24,5,1,40,33014
48,10,1,40,35598
17,7,0,20,28598
17,7,1,10,42385
33,13,1,40,51020
50,9,1,50,156116
22,9,0,40,44950
17,8,1,16,40341
32,10,1,40,31889
31,9,1,45,29898
58,9,1,50,35942
29,9,1,48,49915
37,11,1,40,91463
34,9,1,40,98967
23,10,1,40,40269
18,7,0,5,44386
34,9,0,40,43357
66,4,1,4,38022
45,13,0,55,38860
41,14,1,35,35574
26,9,1,30,42430
54,10,1,40,20783
24,10,0,45,38203
42,10,1,50,25247
20,10,1,20,38913
23,13,0,20,22201
25,12,1,45,36461
35,14,1,60,153707
31,14,1,40,189999
30,13,0,40,44616
19,9,0,20,47086
36,13,1,50,20872
31,13,0,40,32584
21,10,1,30,20014
31,10,1,40,48337
46,16,0,65,152337
44,13,0,50,112136
40,8,1,40,31053
45,10,1,40,39284
60,9,1,35,34563
18,7,1,25,44143
28,13,1,40,47892
36,10,0,40,22223
36,13,1,40,34873
40,11,1,40,34037
36,13,0,35,45094
31,9,0,40,47886
33,9,1,40,31929
19,9,0,40,26651
22,10,0,15,40103
34,13,1,45,164717
33,9,1,40,37251
41,9,1,60,30715
29,13,1,40,46736
50,9,1,42,92006
42,13,1,45,165460
43,13,1,40,109376
44,9,0,40,48133
20,10,0,20,35837
31,9,1,40,32972
65,7,1,59,145175
23,10,0,24,23513
55,10,0,40,42562
26,11,1,45,33242
25,11,0,15,20757
45,10,0,40,38393
35,10,1,40,46657
36,10,0,36,31140
43,13,1,50,26421
56,9,0,20,35997
42,13,1,40,123970
19,10,0,25,32265
55,9,1,72,48151
42,14,0,50,94621
26,11,1,40,32484
17,8,1,20,44602
42,13,0,40,105585
55,9,1,40,119675
32,10,0,40,31369
29,7,1,40,39472
46,13,1,37,24972
29,13,1,40,80987
22,13,1,20,26229
58,6,1,40,35990
23,9,1,50,42707
39,9,1,40,42536
27,11,1,38,41972
54,9,1,40,96488
33,13,0,45,38869
46,9,0,40,107268
37,9,1,40,38213
36,9,0,18,44405
59,9,0,38,81995
34,9,1,40,40830
53,16,1,70,182008
51,13,1,55,145153
32,6,0,42,34086
31,10,1,40,24568
22,10,0,30,41844
47,13,0,50,24218
32,9,1,40,25448
26,10,0,38,30645
37,3,1,32,23787
31,9,1,55,43075
37,11,0,24,153544
55,9,1,38,46291
23,11,1,56,33048
36,10,0,40,24150
34,14,1,40,31491
43,13,1,50,105992
54,10,1,40,35029
43,10,1,40,42660
28,11,0,42,33480
40,11,1,50,86402
41,10,1,60,38924
40,13,0,55,187184
42,10,0,38,32322
61,9,1,50,38960
18,8,1,30,23494
59,9,1,16,46348
21,9,0,40,35155
48,11,1,50,148258
41,13,1,40,33273
18,10,1,33,31079
23,9,0,40,26878
60,9,1,60,82231
22,10,1,20,44791
61,9,1,40,28478
25,9,1,40,30780
46,14,1,35,173925
43,13,1,40,171665
43,12,1,40,44389
24,9,1,30,32452
68,7,1,20,34756
31,9,0,38,24657
17,7,0,20,38483
32,9,1,48,77425
50,14,1,40,25718
33,13,1,47,101695
64,13,1,40,126762
20,9,1,30,33347
30,9,0,36,44220
22,10,1,40,48233
43,10,1,45,34372
22,10,1,40,43842
17,6,1,20,48922
47,9,0,75,20850
41,11,0,60,36908
56,10,1,50,88310
64,9,1,45,26632
47,9,1,50,161707
48,11,1,40,29906
31,14,0,46,24126
29,11,1,40,21676
30,9,0,40,26812
32,9,1,60,39393
57,9,1,42,189137
62,9,0,40,25893
39,9,0,24,36560
43,10,1,25,25101
24,13,1,40,28809
42,7,1,15,31992
53,10,0,40,66048
26,10,1,40,26131
73,9,1,40,21449
72,7,0,24,48645
55,9,1,40,41778
25,9,1,40,36481
41,13,0,50,199843
24,13,1,50,24057
63,9,1,6,32553
17,7,1,20,32696
35,10,1,50,23828
51,10,1,40,100791
62,13,0,48,37403
55,9,1,40,75752
43,10,1,40,28587
40,9,0,50,40706
37,13,1,45,174229
39,13,1,40,32123
31,9,1,18,34456
61,14,0,40,98994
26,11,0,55,25627
46,9,1,50,36842
26,13,0,40,22464
48,16,1,50,134732
34,9,1,40,26982
34,9,0,40,46543
59,9,1,40,128641
34,13,0,40,48188
49,13,0,56,151293
18,7,0,20,49486
43,9,1,40,36854
48,7,1,50,31478
28,10,1,70,28910
33,9,1,40,41295
24,10,0,15,44896
21,6,1,40,30626
17,7,1,28,32925
39,10,1,50,133356
29,13,1,40,39080
44,13,1,40,68016
24,10,1,50,44905
71,14,1,40,122901
51,13,1,40,144496
55,3,1,25,27529
41,13,1,60,103548
23,9,0,7,20901
38,11,0,40,27939
39,9,1,40,60196
19,9,0,30,39564
49,5,0,40,30265
32,13,1,40,98389
27,9,1,70,29644
38,13,1,50,81802
33,10,0,60,43541
63,10,1,15,26544
23,13,1,28,38876
33,10,1,60,41318
54,9,1,40,28164
29,11,0,45,28046
48,10,0,30,24147
35,13,1,40,29323
28,11,0,40,29406
37,13,1,50,168903
42,15,1,65,120665
40,14,1,40,29622
47,10,1,55,48821
22,13,0,50,25946
30,13,1,45,60672
28,9,1,40,33968
63,4,1,55,35262
51,5,1,20,40358
22,9,0,40,39027
27,12,1,40,49886
35,9,1,45,39623
46,9,0,38,31765
37,10,1,52,48079
24,13,1,15,26576
37,9,1,10,34379
53,10,1,40,42081
27,9,1,30,36767
38,10,1,44,40074
53,6,1,60,48222
34,10,1,40,26872
23,9,1,40,26282
39,13,1,45,173161
43,14,0,50,25194
67,9,1,40,106422
81,9,1,30,45400
21,10,1,20,48081
23,10,1,25,36631
25,10,1,40,43937
42,3,0,38,21455
38,10,0,40,30460
64,9,1,5,21318
32,9,1,40,44501
37,9,1,40,20653
51,14,1,60,107492
22,10,0,42,26936
33,2,0,40,29046
42,9,1,55,33839
19,10,0,10,33578
51,1,1,40,22252
23,9,0,40,39622
37,7,1,44,160986
37,9,1,99,87973
47,14,0,25,38846
41,15,1,40,141436
33,9,1,30,36607
31,13,1,40,164523
31,12,0,40,43151
35,9,1,40,46182
38,9,1,40,151404
18,9,0,45,39239
20,9,1,40,21919
54,10,0,35,36013
40,10,0,40,49835
36,13,0,45,156419
43,10,1,35,42167
44,10,1,40,29898
44,9,0,40,103214
43,14,1,43,64600
51,4,0,40,32792
18,9,0,20,39561
51,10,1,40,26916
41,6,1,30,34964
44,10,1,70,156868
33,6,1,40,47736
33,13,1,40,125357
42,12,1,40,98512
25,10,1,45,40764
32,9,0,38,37245
32,13,1,70,41216
36,6,0,40,42180
28,9,1,40,23502
20,9,0,20,23819
35,10,1,60,113140
55,9,1,20,22475
48,13,1,40,182519
36,11,0,20,24419
34,9,1,35,95496
28,13,0,35,49478
67,13,1,40,144340
37,9,1,40,44999
44,9,1,70,22113
25,10,0,40,24125
21,10,0,40,49423
40,14,1,35,189501
78,9,0,40,23006
34,9,1,40,21466
49,9,0,44,49361
22,12,0,40,31869
23,9,0,40,45205
60,9,1,42,37900
45,9,1,40,99691
63,11,0,20,41678
41,9,0,35,32699
47,9,0,40,49058
44,9,1,40,24320
51,10,0,40,32209
46,13,1,40,21141
41,11,1,40,41847
50,9,1,30,42302
47,9,1,50,110937
35,9,1,45,30697
56,9,1,55,87182
45,14,1,45,42357
48,13,1,58,136917
40,10,1,40,36409
39,13,1,50,118555
20,10,1,40,32763
50,16,1,65,175832
38,9,0,40,77721
23,13,0,60,35403
31,9,1,16,23010
58,13,1,40,42450
66,9,1,40,39843
39,9,1,40,196529
54,9,1,52,148767
26,10,1,50,33854
51,9,0,40,22939
34,11,1,40,34066
50,9,1,40,161534
42,10,1,44,128354
38,14,1,25,25179
48,4,1,40,37092
33,11,0,40,165154
51,9,0,32,46185
22,9,1,40,23549
19,9,1,30,32082
41,10,1,50,30968
48,14,1,35,57951
42,9,0,30,48089
34,10,1,40,44842
23,9,0,40,46081
56,9,1,50,31817
30,13,1,45,38319
45,9,1,55,146240
48,6,0,40,24815
48,14,1,50,48954
31,11,0,40,23078
20,12,1,20,30600
27,10,1,40,29342
32,9,0,40,34770
76,4,1,2,32410
19,9,1,40,23515
66,5,1,1,33007
37,9,1,75,33995
34,9,0,30,49491
34,7,0,8,40398
90,9,0,40,24955
23,10,0,40,41289
43,10,0,40,30652
44,13,1,60,99234
24,10,0,37,46690
28,15,1,55,25818
64,12,0,20,46515
23,10,1,40,32935
20,10,0,50,42650
36,13,1,50,80267
61,9,1,40,40885
53,13,1,40,95841
30,13,1,40,136686
52,10,1,55,158318
38,10,1,40,35462
32,13,1,40,37595
30,8,1,75,45292
41,11,0,40,22711
49,14,1,40,128279
45,9,1,47,65111
43,9,1,35,36651
61,9,1,40,29853
54,9,1,32,32938
34,12,0,40,41314
49,10,1,80,110849
38,10,1,40,27812
35,15,1,80,190032
36,8,1,40,28419
30,13,1,50,33556
36,12,0,60,24773
22,13,0,20,45195
38,9,1,40,144719
37,9,1,50,184893
48,16,0,46,146871
17,7,1,15,49814
19,10,1,20,45135
27,13,0,40,43079
22,13,1,50,38905
49,9,1,40,43904
43,11,0,40,149947
43,13,0,40,34331
19,9,0,35,42351
58,9,1,60,29020
41,10,1,40,135108
31,10,1,40,37891
30,11,1,40,34674
32,9,1,40,29063
29,13,1,35,21328
42,10,1,52,132987
38,9,1,28,45243
41,12,1,40,194092
44,13,1,50,65326
31,16,1,60,25411
34,9,1,40,49379
21,10,1,40,42164
22,13,1,20,49776
62,6,1,40,26540
19,9,0,40,39951
29,9,0,25,130428
43,10,0,40,33764
68,4,1,8,46325
45,13,1,60,74209
39,5,1,40,30630
41,13,1,50,33020
34,12,0,25,136950
34,9,0,33,26460
31,13,1,47,41648
29,9,1,25,37653
41,13,1,40,53654
41,11,1,55,23934
35,14,1,45,141622
33,13,0,45,184163
37,13,1,38,33738
69,9,0,40,39133
34,9,0,40,35996
60,11,1,70,197268
36,10,1,40,22937
41,9,1,50,33094
58,13,0,40,191061
53,13,1,40,30868
29,10,1,40,40355
45,9,0,40,38053
34,10,1,38,36540
36,13,1,40,46758
48,10,0,35,30874
20,11,0,40,23507
35,9,1,50,157755
63,9,1,40,33869
41,10,1,45,26829
28,13,1,45,33820
30,10,0,40,29592
34,9,0,40,38248
31,9,0,40,36757
37,11,0,38,32617
42,10,1,40,29925
31,10,1,50,196662
46,14,1,45,50313
35,9,1,60,54632
27,9,1,53,45027
41,2,1,35,30836
19,10,0,20,30021
20,10,1,45,21736
59,9,0,40,36057
40,13,1,37,22986
56,10,1,60,28415
33,14,1,44,105222
30,10,0,60,32344
46,9,1,50,38739
61,9,1,35,103950
50,9,1,40,138952
25,9,1,30,36520
40,10,0,39,40041
24,10,1,40,30742
51,9,1,54,34164
43,9,1,40,40958
34,10,1,54,47451
46,9,1,45,162381
28,14,0,50,155940
26,13,1,40,39516
20,9,1,28,20679
44,11,1,40,42789
51,9,1,40,33588
33,13,1,60,106054
54,12,1,40,51997
50,13,0,40,189579
33,9,0,40,33841
65,13,1,20,112320
22,10,0,8,26892
88,15,1,40,33244
40,9,1,40,40650
51,9,0,43,27134
50,7,0,40,42452
25,14,1,99,109710
20,11,1,30,27763
47,9,1,40,38951
58,10,1,40,54183
22,11,0,30,29505
50,9,1,48,116956
47,9,0,40,31248
24,7,1,45,40303
50,9,1,40,68739
40,13,0,45,128866
36,13,1,40,47628
32,9,1,40,35368
44,9,1,40,49483
51,14,1,40,29070
59,10,0,40,20600
65,9,1,30,30388
24,13,0,65,26232
27,13,1,35,28631
51,11,1,40,49270
48,10,1,40,71960
39,9,1,60,32933
28,13,1,40,37523
19,10,0,25,21617
49,13,0,40,48133
51,12,1,60,42596
59,14,1,55,21417
18,9,0,40,48999
50,9,1,40,24364
45,9,1,80,160811
30,13,1,50,83746
37,13,1,35,39475
44,13,1,40,131726
33,10,1,40,22948
61,14,1,40,100499
61,9,1,40,45050
38,13,1,42,185517
22,10,1,30,27144
36,9,1,45,39359
44,10,1,60,181080
37,10,1,62,21917
31,10,0,20,27511
54,16,1,45,167168
20,10,1,16,20759
63,13,0,40,71150
48,10,1,40,121759
33,9,0,41,21683
31,13,1,45,41854
38,15,1,40,70602
45,9,1,40,93580
48,9,1,40,37954
53,10,1,40,41228
55,9,0,40,44470
38,14,1,72,104159
29,9,0,40,30599
36,13,1,60,127639
42,10,1,60,39598
50,9,0,40,46149
75,15,1,35,41395
46,13,1,40,150093
52,9,0,40,36357
27,13,0,40,48035
43,9,1,45,35931
31,7,0,42,33466
23,10,0,30,37526
34,9,0,24,23028
41,9,0,40,23246
31,9,0,30,49856
42,10,0,40,21159
35,14,1,45,90808
55,9,0,25,29075
36,9,0,40,49284
65,9,1,59,143406
38,10,1,12,21741
62,10,0,20,27256
54,15,1,60,181055
49,9,1,40,38631
34,9,0,40,46657
32,9,0,40,34266
51,14,1,50,160637
48,10,1,60,22247
30,9,1,40,25782
52,9,0,43,49133
28,10,1,40,29543
29,9,1,40,30935
38,13,0,50,20702
57,9,1,50,141752
43,13,1,40,67347
37,10,1,40,25378
30,9,1,40,40750
53,9,1,48,52640
69,11,0,1,46002
73,9,0,37,31585
22,10,1,35,32303
31,9,0,45,30470
38,13,1,40,199828
50,10,1,35,35627
